,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
18,144,"г. Новосибирск, ул. Бориса Богаткова, д. 214",УК «МКС-Новосибирск»,233-03-10,—,—,—
19,145,"г. Новосибирск, ул. Бориса Богаткова, д. 214/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
20,146,"г. Новосибирск, ул. Бориса Богаткова, д. 226",УК «МКС-Новосибирск»,233-03-10,1974,9 718.50,358
21,147,"г. Новосибирск, ул. Бориса Богаткова, д. 226/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
22,148,"г. Новосибирск, ул. Бориса Богаткова, д. 226/2",УК «МКС-Новосибирск»,233-03-10,—,—,—
23,149,"г. Новосибирск, ул. Бориса Богаткова, д. 228",УК «МКС-Новосибирск»,233-03-10,—,—,—
24,150,"г. Новосибирск, ул. Бориса Богаткова, д. 230",УК «МКС-Новосибирск»,233-03-10,—,—,—
1,152,"г. Новосибирск, ул. Ватутина, д. 47",УК «МКС-Новосибирск»,233-03-10,—,—,—
2,153,"г. Новосибирск, ул. Ватутина, д. 49/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
3,154,"г. Новосибирск, ул. Ватутина, д. 51",УК «МКС-Новосибирск»,233-03-10,—,—,—
4,155,"г. Новосибирск, ул. Ватутина, д. 53",УК «МКС-Новосибирск»,233-03-10,—,—,—
5,156,"г. Новосибирск, ул. Ватутина, д. 55",УК «МКС-Новосибирск»,233-03-10,—,—,—
6,157,"г. Новосибирск, ул. Ватутина, д. 59",УК «МКС-Новосибирск»,233-03-10,—,—,—
7,158,"г. Новосибирск, ул. Ватутина, д. 63/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
8,159,"г. Новосибирск, ул. Ватутина, д. 65",УК «МКС-Новосибирск»,233-03-10,—,—,—
9,160,"г. Новосибирск, ул. Ватутина, д. 75",УК «МКС-Новосибирск»,233-03-10,1963,4 704.80,170
10,161,"г. Новосибирск, ул. Ватутина, д. 75/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
11,162,"г. Новосибирск, ул. Ватутина, д. 77",УК «МКС-Новосибирск»,233-03-10,1963,4 712.80,170
12,163,"г. Новосибирск, ул. Ватутина, д. 79",УК «МКС-Новосибирск»,233-03-10,1963,4 959.60,178
13,164,"г. Новосибирск, ул. Вертковская, д. 5/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
14,165,"г. Новосибирск, ул. Вертковская, д. 5/2",УК «МКС-Новосибирск»,233-03-10,—,—,—
15,166,"г. Новосибирск, ул. Вертковская, д. 6",УК «МКС-Новосибирск»,233-03-10,—,—,—
16,167,"г. Новосибирск, ул. Вертковская, д. 8",УК «МКС-Новосибирск»,233-03-10,—,—,—
17,168,"г. Новосибирск, ул. Вертковская, д. 8/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
18,169,"г. Новосибирск, ул. Вертковская, д. 10/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
19,170,"г. Новосибирск, ул. Вертковская, д. 12/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
20,171,"г. Новосибирск, ул. Вертковская, д. 12/2",УК «МКС-Новосибирск»,233-03-10,—,—,—
21,172,"г. Новосибирск, ул. Вертковская, д. 14/2",УК «МКС-Новосибирск»,233-03-10,—,—,—
22,173,"г. Новосибирск, ул. Вертковская, д. 19",УК «МКС-Новосибирск»,233-03-10,—,—,—
23,174,"г. Новосибирск, ул. Вертковская, д. 21",УК «МКС-Новосибирск»,233-03-10,—,—,—
24,175,"г. Новосибирск, ул. Вертковская, д. 27/1",УК «МКС-Новосибирск»,233-03-10,1961,1 515.50,88
1,177,"г. Новосибирск, ул. Вертковская, д. 33",УК «МКС-Новосибирск»,233-03-10,—,—,—
2,178,"г. Новосибирск, ул. Вертковская, д. 35/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
3,179,"г. Новосибирск, ул. Вертковская, д. 36/1",УК «МКС-Новосибирск»,233-03-10,1975,3 501.70,146
